date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:01	25/25	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2030%20May%202020%2016:54:02%20GMT	https://primedividends.com/user/account	C:/Users/LAWRENCE/Desktop/COLLINS/ACCOUNT/primedividends.com/user/account.0.delayed	(from )
17:54:02	6340/6340	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2016:54:03%20GMT	https://primedividends.com/user/index	C:/Users/LAWRENCE/Desktop/COLLINS/ACCOUNT/primedividends.com/user/index.html	(from )
17:54:13	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20May%202020%2016:54:14%20GMT	https://primedividends.com/robots.txt		(from )
17:54:14	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20May%202020%2016:54:15%20GMT	https://coinspotraders.com/wp-content/uploads/fevicon.png	C:/Users/LAWRENCE/Desktop/COLLINS/ACCOUNT/coinspotraders.com/wp-content/uploads/fevicon.2.delayed	(from https://primedividends.com/user/index)
17:54:15	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20May%202020%2016:54:17%20GMT	https://coinspotraders.com/fast.fonts.net/cssapi/487b73f1-c2d1-43db-8526-db577e4c822b.css	C:/Users/LAWRENCE/Desktop/COLLINS/ACCOUNT/coinspotraders.com/fast.fonts.net/cssapi/487b73f1-c2d1-43db-8526-db577e4c822b.3.delayed	(from https://primedividends.com/user/index)
17:54:18	15196/15196	---M--	200	added ('OK')	text/css	date:Sun,%2017%20May%202020%2000:54:29%20GMT	https://primedividends.com/user/bower_components/select2/dist/css/select2.min.css	C:/Users/LAWRENCE/Desktop/COLLINS/ACCOUNT/primedividends.com/user/bower_components/select2/dist/css/select2.min.css	(from https://primedividends.com/user/index)
17:54:19	8163/8163	---M--	200	added ('OK')	text/css	date:Sun,%2017%20May%202020%2000:55:00%20GMT	https://primedividends.com/user/bower_components/bootstrap-daterangepicker/daterangepicker.css	C:/Users/LAWRENCE/Desktop/COLLINS/ACCOUNT/primedividends.com/user/bower_components/bootstrap-daterangepicker/daterangepicker.css	(from https://primedividends.com/user/index)
17:54:23	12587/12587	---M--	200	added ('OK')	text/css	date:Sun,%2017%20May%202020%2000:55:30%20GMT	https://primedividends.com/user/bower_components/dropzone/dist/dropzone.css	C:/Users/LAWRENCE/Desktop/COLLINS/ACCOUNT/primedividends.com/user/bower_components/dropzone/dist/dropzone.css	(from https://primedividends.com/user/index)
17:54:24	4188/4188	---M--	200	added ('OK')	text/css	date:Sun,%2017%20May%202020%2000:56:14%20GMT	https://primedividends.com/user/bower_components/datatables.net-bs/css/dataTables.bootstrap.min.css	C:/Users/LAWRENCE/Desktop/COLLINS/ACCOUNT/primedividends.com/user/bower_components/datatables.net-bs/css/dataTables.bootstrap.min.css	(from https://primedividends.com/user/index)
17:54:26	15686/15686	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Feb%202020%2011:28:59%20GMT	https://primedividends.com/user/bower_components/fullcalendar/dist/fullcalendar.min.css	C:/Users/LAWRENCE/Desktop/COLLINS/ACCOUNT/primedividends.com/user/bower_components/fullcalendar/dist/fullcalendar.min.css	(from https://primedividends.com/user/index)
